id,name,slug,order,parent_category_id,created_at,updated_at
1,1月,janualy,1,,2024/10/11 0:00:00,2024/10/11 0:00:00
2,2月,february,2,,2024/10/11 0:00:00,2024/10/11 0:00:00
3,3月,march,3,,2024/10/11 0:00:00,2024/10/11 0:00:00
4,4月,april,4,,2024/10/11 0:00:00,2024/10/11 0:00:00
5,5月,may,5,,2024/10/11 0:00:00,2024/10/11 0:00:00
6,6月,june,6,,2024/10/11 0:00:00,2024/10/11 0:00:00
7,7月,july,7,,2024/10/11 0:00:00,2024/10/11 0:00:00
8,8月,august,8,,2024/10/11 0:00:00,2024/10/11 0:00:00
9,9月,september,9,,2024/10/11 0:00:00,2024/10/11 0:00:00
10,10月,october,10,,2024/10/11 0:00:00,2024/10/11 0:00:00
11,11月,november,11,,2024/10/11 0:00:00,2024/10/11 0:00:00
12,12月,december,12,,2024/10/11 0:00:00,2024/10/11 0:00:00


